,District,Latitude,Longitude
0,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994
1,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995
2,MENDHAM TWP,40.79423000000003,-74.56898999999999
3,UNION COUNTY VOCATIONAL,40.61876994099601,-74.35869995441209
4,ESSEX FELLS BORO,40.83041000000003,-74.28347999999994
5,BERGEN COUNTY VOCATIONAL,40.95949148700004,-74.07444200499998
6,MORRIS COUNTY VOCATIONAL,40.86201902400006,-74.54427410199997
7,OCEAN COUNTY VOCATIONAL,39.90927433500008,-74.29696530399997
8,MONMOUTH CO VOCATIONAL,40.16967006939238,-74.06308997605223
9,ALLENDALE BORO,41.03043000000008,-74.13722999999999
10,MOUNTAINSIDE BORO,40.672510000000045,-74.35519999999997
11,RIVER EDGE BORO,40.932660000000055,-74.03322999999995
12,ORADELL BORO,40.95308000000006,-74.03185999999994
13,RUMSON BORO,40.37679000000003,-74.00486999999998
14,CRANBURY TWP,40.31099000000006,-74.51624999999996
15,GLOUCESTER CO VOCATIONAL,39.71720106500004,-75.14164365699997
16,PASSAIC COUNTY VOCATIONAL,41.03434749000007,-74.30105721099994
17,FREDON TWP,41.036640000000034,-74.81308999999999
18,BRIELLE BORO,40.11241000000007,-74.05703999999997
19,CLOSTER BORO,40.97127000000006,-73.95965999999999
20,LITTLE SILVER BORO,40.34006000000005,-74.04310999999996
21,BAY HEAD BORO,40.070760000000064,-74.04707999999994
22,MANSFIELD TWP,40.09248000000008,-74.71368999999999
23,MAYWOOD BORO,40.903770000000065,-74.05973999999998
24,NORTHERN VALLEY REGIONAL,41.01040000000006,-73.97876999999994
25,ISLAND HEIGHTS BORO,39.941940000000045,-74.13815999999997
26,LITTLE FALLS TWP,40.884060000000034,-74.23632999999995
27,WEST MORRIS REGIONAL,39.99372000000005,-75.03376999999995
28,CRESSKILL BORO,40.94151000000005,-73.95995999999997
29,TENAFLY BORO,40.927680000000066,-73.96876999999995
30,FLORHAM PARK BORO,40.78520000000003,-74.39448999999996
31,HARRISON TWP,39.75569000000007,-75.26424999999995
32,MENDHAM BORO,40.77576000000005,-74.60121999999996
33,SANDYSTON-WALPACK TWP,41.15812000000005,-74.87874999999997
34,NORTHERN HIGHLANDS REG,41.03531001283931,-74.14420998052424
35,HAWORTH BORO,40.96082000000007,-73.99211999999994
36,SPRING LAKE BORO,40.151140000000055,-74.03295999999995
37,UPPER SADDLE RIVER BORO,41.06483000000003,-74.09805999999998
38,SPRING LAKE HEIGHTS BORO,40.155110000000036,-74.03479999999996
39,TEWKSBURY TWP,40.705610000000036,-74.77469999999994
40,RUMSON-FAIR HAVEN REG,40.36852008280856,-74.00197006665094
41,ALPINE BORO,40.94909000000007,-73.92908999999997
42,NEW PROVIDENCE BORO,40.709670000000074,-74.40225999999996
43,GLEN RIDGE BORO,40.799930000000074,-74.20483999999993
44,ATLANTIC HIGHLANDS BORO,40.41295000000008,-74.03815999999995
45,DENVILLE TWP,40.89631000000003,-74.48243999999994
46,ROSELAND BORO,40.82245000000006,-74.29243999999994
47,NORTH CALDWELL BORO,40.86036000000007,-74.26067999999998
48,MONTVILLE TWP,40.88397000000003,-74.36484999999993
49,RAMAPO-INDIAN HILL REG,39.718079819316586,-74.98682277614067
50,MIDLAND PARK BORO,40.990980000000036,-74.14154999999994
51,KINGWOOD TWP,40.52715000000006,-75.00631999999996
52,DEMAREST BORO,40.955820000000074,-73.96425999999997
53,FAIR LAWN BORO,40.93610000000007,-74.13190999999995
