,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,Booskerdoo,40.365113718378694,-74.03437947630036,Coffee Shop
1,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,Raven & The Peach,40.36391633949839,-74.03640054887008,New American Restaurant
2,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,Fair Haven Fireman's Fair,40.362632,-74.04059,Theme Park
3,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,Nauvoo Grill Club,40.36408188877923,-74.03504837042655,New American Restaurant
4,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,Fairwinds Deli,40.365009926689616,-74.03408549969645,Deli / Bodega
5,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,Fair Haven Hardware Inc.,40.364206,-74.03549100000001,Hardware Store
6,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,Memorial Park,40.364227302149814,-74.03552900283114,Park
7,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,BFF Market,40.36467094661513,-74.03537982596654,Sandwich Place
8,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,Clementine Cycling Studio,40.36543977978694,-74.03327986230879,Athletics & Sports
9,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,The Write Impression,40.365684509277344,-74.03324127197266,Paper / Office Supplies Store
10,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,By George Baby,40.365835,-74.033281,Baby Store
11,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,Lotus Way,40.36593,-74.03301,Clothing Store
12,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,Fair Haven Yacht Works,40.36726556234422,-74.03726696612564,Harbor / Marina
13,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,Fair Haven Dock,40.36799839745109,-74.03853973953012,Harbor / Marina
14,FAIR HAVEN BORO,40.36427000000003,-74.03588999999994,Krauszers,40.3621332348494,-74.04107141418199,Deli / Bodega
15,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Shore Trail - Palisades Interstate Park,40.87799415164589,-73.94655877887067,Trail
16,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Grissini Restaurant,40.879492,-73.951947,Italian Restaurant
17,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Food For Life,40.87970674387018,-73.9512768324006,Deli / Bodega
18,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Brown Stone Pancake Factory,40.88086489972223,-73.9515690810864,Diner
19,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,TD Bank,40.8773503,-73.9517187,Bank
20,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,The UPS Store,40.88133939991575,-73.9534416943809,Shipping Store
21,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,The Bicycle Club,40.87945966579889,-73.9512384799748,American Restaurant
22,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Central Kitchen,40.880862950856894,-73.95127478737066,New American Restaurant
23,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,LG Electronics Cafeteria,40.87996691086628,-73.95038747503808,Cafeteria
24,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Lefkes,40.877854,-73.951953,Mediterranean Restaurant
25,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Rana Bridal,40.879167,-73.951416,Bridal Shop
26,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Palisades Interstate Parkway at Exit 1,40.87927866882187,-73.94908634501121,Intersection
27,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Giovanni's Bicycle Club,40.879385867679375,-73.95136513128284,Italian Restaurant
28,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,9W Gourmet Deli,40.879737866653265,-73.95424288202605,Bagel Shop
29,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Cosmetic Skin - Englewood Cliffs,40.879739461612076,-73.95434504038815,Health & Beauty Service
30,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Luminous Electric LLC,40.88162513447379,-73.95371675491332,Other Repair Shop
31,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,JM Englewood Marina,40.87753351839414,-73.9464324937478,Harbor / Marina
32,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Studio 400,40.875694,-73.95318,Photography Studio
33,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Dyckman Hill Trail - Palisades Interstate Park,40.87664211597047,-73.94672524549756,Trail
34,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Englewood Picnic Area,40.876323606286405,-73.94680560864548,Park
35,ENGLEWOOD CLIFFS BORO,40.87924000000004,-73.95077999999995,Englewood Boat Basin,40.876239145838845,-73.94650137655232,Harbor / Marina
36,MENDHAM TWP,40.794230000000034,-74.56898999999999,Brookside Softball Field,40.79456051724607,-74.56695000706927,Baseball Field
37,MENDHAM TWP,40.794230000000034,-74.56898999999999,Dismal Harmony Natural Area,40.79457801920261,-74.56820285310555,Trail
38,MENDHAM TWP,40.794230000000034,-74.56898999999999,Jewelers Gallery,40.794198,-74.571752,Jewelry Store
39,MENDHAM TWP,40.794230000000034,-74.56898999999999,Simple Coffee,40.79435,-74.572967,Coffee Shop
40,MENDHAM TWP,40.794230000000034,-74.56898999999999,Brookside Beach,40.79260954232336,-74.57249907361715,Lake
